# X  Y          Z1        Z2
  1  14.4214640  14.4731325  14.3697956
  2  27.2334296  29.4019747  25.0648845
  3  43.6875590  43.7876823  43.5874357
  4  59.6424974  64.8293061  54.4556888
  5  72.1712600  73.0108271  71.3316928
  6  85.4685533  88.7080810  82.2290256
