# X  Y          Z1        Z2
  1  0.9999743  1.0000071  0.9999415
  2  0.9817441  1.0151296  0.9483587
  3  0.9024721  0.9950676  0.8098766
  4  0.6133253  0.7149804  0.5116703
  5  0.7385908  0.8285668  0.6486148
  6  0.6286638  0.8099907  0.4473369
  7  0.7545971  0.8897635  0.6194307
  8  0.8283768  0.8825216  0.7742320
