# X  Y          Z1        Z2
  10  14.5431786  14.5704031  14.5159542
  20  34.3050861  41.6676298  26.9425423
  30  37.6662859  47.9903881  27.3421838
  40  44.0610322  56.8699872  31.2520771
  50  31.7397828  43.1264581  20.3531074
  60  50.2528572  66.0590417  34.4466728
  70  50.0493791  61.5124876  38.5862707
  80  54.1788464  61.6280661  46.7296267
  90  45.0053523  56.8140866  33.1966181
  100  53.3991602  60.9426737  45.8556466
