# X  Y          Z1        Z2
  10  19.2994560  22.6461108  15.9528011
  20  102.3533705  136.6977754  68.0089656
  30  45.5101371  75.0034598  16.0168143
  40  113.3127877  194.1029683  32.5226071
  50  70.2489509  98.0053264  42.4925755
  60  101.1250796  143.7096750  58.5404842
  70  175.1124629  258.4235719  91.8013539
  80  121.7029636  198.2882716  45.1176556
  90  81.5050000  111.3046430  51.7053571
  100  59.0192954  84.3041606  33.7344301
