# X  Y          Z1        Z2
  1  14.3707581  14.4313520  14.3101642
  2  26.3412470  28.7122654  23.9702285
  3  41.1103111  45.8339505  36.3866716
  4  59.1900318  61.0390628  57.3410009
  5  74.9340396  77.7583203  72.1097590
  6  86.0102698  89.0788456  82.9416941
