# X  Y          Z1        Z2
  10  14.5597331  14.5878767  14.5315894
  20  32.9886225  42.5868404  23.3904046
  30  34.6859397  46.5862847  22.7855948
  40  44.0472018  61.9118081  26.1825955
  50  37.2681587  58.3714757  16.1648417
  60  45.1509989  62.5324575  27.7695402
  70  51.8588017  67.5218161  36.1957874
  80  54.3682489  67.0610711  41.6754268
  90  44.2788699  61.1643516  27.3933882
  100  54.3404708  65.5057001  43.1752416
